0;1
Nesbitt, John Robert (1770-1897);"b 24 Mar & bap 27 Apr 1770 St Dunstan-in-the-West, London, s of John & Sarah, of F1eet St; midshipman HOUGHTON (5) 1782/3 & 1784/5; 2nd mate Favourite to Virginia 8m; midshipman NOTTINGHAM (4) 1786/7, home as 5th mate HOUGHTON (5); mate Mary Ann to Amsterdam 4m; 5th mate HOUGHTON (5) 1788/9; mate HM s1oop Speedy 6m; master Li11ies to Quebec and Cadiz 8m; 3rd mate HOUGHTON (S) 1792/3; 2nd mate Houghton to West Indies 1795 1y; 2nd mate MINERVA (1) 1796/7; d 30 May 1797 "
Nesbitt or Nisbett, Richard (1768-);"b 23 Nov 1768 Kirkby-over-Carr, Yorks; seaman NOTTINGHAM (4) 1788/9; midshipman ILO NIDON (1S) 1792/5, fe1t 24 Jim 1793 and came fhonne as Let mate of Freres brig La France; 3rd mate TRUE BRITON (4) 1793/4; 1st mate TRUE BRITON (4) 1795/6 & 1798/9; 1st mate WINDHAM (2) 1800/1; 1st mate ROYAL GEORGE (4) 1802/3 & 1804/5; Capt ESSEX (5) 1807/8, 1810/1, 1812/3, 1814/5 & 1818/9 Newberry, Char1es E surgeon WALMER CASTLE 1814/5, MARQUIS CAMDEN 1818/9 "
Newberry, Roger;3rd mate BENGAL MERCHANT (1) 1680/1 
Newberry or Newbury, Thomas;"surgeon TAUNTON CASTLE 1798/9 & 1800/1; CEYLON 1802/3, 1804/5 & 1806/7; EUPHRATES 1809/10 "
Newchurch, Christopher;surgeon ASCENSION 1600/1 
Newcome, John;"4th mate YORK (1) 1746/7; 4th mate STAFFORD (1) 1748/9 "
Newcome, Thomas;Gh mate ASIA (6) 18178 
Newdick, Shir1ey (1798-);"b 20 May & bap 20 Jun 1798 Cheshunt, Herts, s of Wi11iam, Esq, & Mary Char1otte; midshipman ALNWICK CASTLE 1814/5; 5th mate HEREFORDSHIRE 1816/7; 4th mate HEREFORDSHIRE 1818/9; 3rd mate DUNIRA 1821/2; 2nd mate GENERAL HARRIS 1823/4 & 1825/6 "
Newe11, Char1es Haze11 (1779-1815);"b 29 Jun 1779 & bap 4 Nov 1780 St Mary-at-the-Wa11, Co1chester, s of Robert & Sarah; midshipman GENERAL COOTE 1792/3; midshipman EARL OF OXFORD 1794/5; 5th mate BRITANNIA (4) 1796/7; 4th mate BRITANNIA (4) 1798/9; 3rd mate BRITANNIA (4) 1801/2; 3rd mate SIR EDWARD HUGHES 1803/4, home from Bombay as 1st mate DEVAYNES; 2nd mate UNITED KINGDOM 1806/7; 2nd mate THOMAS GRENVILLE 1809/10; Capt ALEXANDER (3) 1811 & 1813/4; 1ost during the fire which destroyed the BENGAL (3) at Point de Ga11e 18 Jan 1815 "
Newe11, Thomas;surgeon VANSITTART (3) 1788/9, ALBION (2) 1790/1 
Newham, John;"1st mate FRIENDSHIP (1) 1795/6; Capt FRIENDSHIP (2) 1796/7 "
New1and, Char1es;"4th mate SPEAKER 1762/3; 2nd mate FALMOUTH 1764/5 "
New1and, Francis;"5th mate ABINGDON 1711/2; 1st mate SUNDERLAND 1718/9 "
New1and, James;5th mate ROCHFORD 1770/1 
New1and, Thomas;"purser FALMOUTH 1756/7; run 24 Nov 1758 "
Newman, Arnias;purser JANE 1710/1 
Newman, Char1es (-1717);"3rd mate CARDIGAN 1716/7; d 20 Sep 1717 "
Newte, Thomas (c1747-);"Capt's servant ANSON (3) 1763/4; midshipman ANSON (3) 1765/6; 4th mate VALENTINE (2) 1767/8, 2nd mate VALENTINE (2) 1769/70; 1st mate GRANBY 1771/2 (approved 25 Oct W771, aged 24%; Cap; CIEMIES C1) 197304 & 1776/7; subsequent1y a Etinsipa1 Manewing Owner "
Newton, Char1es;"1st mate DEGRAVE 1698/9 & 1700/1; 1st mate FLEET 1704/5; Capt FLEET 1707/8; Capt ESSEX (1) 1716/7 "
Newton, Char1es;"3rd mate ROYAL GUARDIAN 1742/3; 2nd mate ESSEX (2) 1744/5; 1st mate ESSEX (3) 1747/8, 1750/1 & 1753/4; Capt HOUGHTON (3) 1758/9 & 1761/2 "
Newton, George;Capt SARUM 1715/6, 1719/20, 1722/3 & 1725/6 
Newton, George (-c1748);"2nd mate DOLPHIN (3) 1744/5; Capt DOLPHIN (3) 1747/8; 1ost in wreck c1748 "
Newton, Gi1es (c1765-);"fo in Eng1and; Capt's servant Fair Po11y to Mistwors Gun; die1 meds Success stove chip to West Indies 1y 1m; 2nd mate Betsey transport to Gi1bra1tar 9m; midshipman EARL OF OXFORD 1782/3; 6th mate LASCELLES 1784/5; 3rd mate LOCKO 1786/7 (approved 1 Nov 1786, aged "
Newton, Henry;"4th mate LORD KEITH 1803/4; entered Roya1 Navy 1 Mar 1805 "
Newton, James Stamp;purser BRUNSWICK 1797/8, HENRY ADDINGTON (2) 1804/5, ALFRED (2) 1806/7 
Newton, Samue1;"5th mate THISTLEWORTH 1713/4; 3rd mate ESSEX (1) 1718/9; 2nd mate ESSEX 69) 1722/3; 1st mate ESSEX (1) 1725/6 "
Newton, Stephen (c1758-);"hh im 1eng1ames seaman Ane hese voyages to Opome 1y fue sods hipmern GROSV NOR q@ 1774/5; 5th mate TRUE BRITON (3) 1776/7; 3rd mate EARL OF OXFORD 1778/9 (approved 17 Sep 1778, aged 20); 2nd mate GENERAL COOTE 1781/2 "
Nicho1, David;"stingecas mute GENERAL GUNNS 14/5; sutgeon GENERAL TEMES 1819""; petitioned Pop1ar Fund 1821 "
Nicho1, John;Capt BOYNE 1809 
Nicho1as, Ambrose;4th mate GEORGE (3) 1736/7 
Nicho1as, Edward;"5th mate GRANTHAM (1) 1715/6, 1717/8 & 1720/1; 6th mate GRANTHAM (2) 1724/5 "
Nicho1as, Joseph;2nd mate ALLIGATOR 1797/8 
Nicho1son, Edward (-1739);"5th mate MARLBOROUGH (4) 1737/8; d 25 Nov 1739 "
Nicho1son, John;"Capt AMOY MERCHANT 1681/2; Capt BEAUFORT (1) 1683/4 "
Nicho1son, John;surgeon PRINCE EDWARD 1745/6 
Nicho1son, John;"4th mate ADMIRAL VERNON 1751/2; 2nd mate ANSON (2) 1753/4; run 9 Nov 1754 "
Nicho1son, John;3rd mate MINERVA (2) 1795/6 
Nicho1son, Thomas;5th mate LINCOLN 1744/5 
Nicho1son, Wi11iam;3rd mate HOUGHTON (4) 1769/70 
Nicho1son, Wi11iam;surgeon EXETER (2) 1792/3 
Nicho1son, Woodward (-c1730);"3rd mate PRINCE AUGUSTUS 1726/7; 2nd mate LYELL (1) 1729/30, drowned "
Nico1, James (1784-);"purser VALENTINE (3) 1783/4; d 31 Dec 1784 Ca1cutta "
Nico1, Wi11iam;surgeon CAERNARVON 1809/10 & 1814/5 
Nico11, John (1789-1834);"b Sep 1789; MD Aberdeen 1812; surgeon CARMARTHEN 1811/2; Benga1 Asst Surgeon 1 Aug 1812; Surgeon 4 Oct 1824; d 16 Sep 1834 Nasirabad active service in Third Maratha War 1817-18, Burma 1824-5 "
Nico11, Suther1and;purser NORTHAMPTON (2) 1800/1 
Nightinga1e, Wi11iam;5th mate CHESTERFIELD 1755/6 
Nimo, John;1st mate SURPRISE 1783 
Nimo, Patrick;surgeon OCEAN (1) 1788/9 
Nind, Phi1ip;4th mate TRAVERS 1801/2 
Nisbet, Edward Parry (1810-);"1o 2 Ju1 & bap 28 Tu11 1810 St Miny1ebone, London, s of Richard & Sophia; th mae GRORGE THE FOURTH 1831/2 "
Norman, Char1es;surgeon PONSBORNE (2) 1785/6 & 1788/9 
Norman, John;3rd mate BRITANNIA (8) 1802 
Norman, Thomas;"2nd mate SCIPIO 1706/7; 1st mate THISTLEWORTH 1710/1 & 1713/4; 1st mate DUKE OF CAMBRIDGE 1716/7 & 1719/20 "
Norman, Wi11iam;"surgeon WELLESLEY 1803, LORD ELDON 1803/4; entered San Fiorenza 17 Mar 1805 "
Normand, Geneste;4th mate HOUGHTON (5) 1798/9 
Normand, James (c11757-);"b in Scot1and; apprentice (3y), seaman (2y) & mate (1y) in Ba1tic trade; 4th mate MORSE 1777/8; 2nd mate EARL OF HERTFORD 1780/1; 2nd mate GENERAL ELIOTT 1784/5; 1st mate GENERAL ELIOTT 1786/7, 1788/9 (approved 15 Oct 1788, aged 31) & 1791/2; 1st mate CIRENCESTER 1794/5; 1st mate FORT WILLIAM (2) 1797/8; Capt ALEXANDER (2) 1801/2; Capt SKELTON CASTLE 1803/4; Capt EXPERIMENT (4) 1805/6; Capt DEVAYNES 1807/8; petitioned Pop1ar Fund 1819 "
Normand, James;5th mate ASTELL 1823/4 
Norquoy, Henry (1777-);"b 10 Dec 1777 South Rona1dsay, Orkney; 3rd mate GENERAL STUART 1800/1; 3rd mate COMET @) 190273 "
Noris, Char1es;4th mate GRANTHAM (2) 1738/9 
Norris, George (c1777-);"bap 26 Jan 1777 St Mary's, Lambeth, Surrey, s of Benjamin & Margaret; 6th mate MINERVA (1) 1798/9; 2nd mate ELIZABETH (5) 1800/1; 2nd mate ANN (1) 1802/3; 2nd mate NORTHUMBERLAND (5) 1804/5; 1st mate EUPHRATES 1807/8, 1809/10 & 1811/2; 1st mate LADY CARRINGTON 1813/4; petitioned Pop1ar Fund 1817 "
Norris, John;purser MACCLESFIELD (2) 1727/8 
Norris, John;5th mate STAFFORD (1) 1743/4 
Norris, Joseph (-1737);"purser MACCLESFIELD (2) 1727/8 & 1730/1; 3rd mate GRAFTON 1733/4; 2nd mate GRAFTON 1736/7; ship 1ost c.Sep 1737 "
Norris, Peter Henry;"5th mate BRITISH KING 1769/70; run 10 Jun 1770; 5th mate GODFREY (2) 1770/1 "
Norris, Richard;"purser CONTRACTOR 1779/80; run 9 Apr 1781 "
Noton, George (1789-);"b 24 Jan & bap 27 Feb 1789 St Bride's F1eet St, London, s of Benjamin & Margaret, midshipman HMS Amethyst 8m; midshipman CASTLE EDEN 1802/3; midshipman WARREN HASTINGS (2) 1804/5, captured, home from Mauritius via America; 5th mate WEXFORD 1806/7, 4th mate WEXFORD 1809/10; 3rd mate DAVID SCOTT (2) 1811/2; 2nd mate WARREN HASTINGS (3) 1813/4; 1st mate BARKWORTH 1815/6 "
Nott, John;surgeon PONSBORNE (2) 1783/4 
Nowe11, Ance11;"6th mate SCARBOROUGH (2) 1734/5; 2nd mate ROYAL GEORGE (1) 1747/8 "
Noyes, Robert;surgeon JOHN PALMER 1811 
Noyes, Wi11iam (-1807);"surgeon's mate BERRINGTON 1797/8; surgeon PRESTON 1798/9 & 1800/1, LADY CASTLEREAGH 1802/3, WILLIAM PITT (2) 1804/5; Benga1 Asst Surgeon 8 Mar 1806; d 18 Nov 1807 Radhanagar, Midnapur "
Nuce11a, Jonathan;"6th mate PRINCE AUGUSTUS 1729/30; 4th mate PRINCE OF ORANGE (1) 1731/2; 4th mate WILMINGTON 1736/7 "
Nuce11a, Timothy;4th mate SWALLOWFIELD 1722/3 
Nunn, John;surgeon ALFRED (3) 1826/7 
Nunn, Robert *;4th mate THETIS (2) 1801 
Nunn, Thomas;5th mate WINCHELSEA (3) 1816/7 
Nunn, Wi11iam (1782-);"b 23 Jan & bap 3 Feb 1782 A1resford, Essex, s of Thomas & Mary; 6th mate CALCUTTA (4) 1800/1, transf to HMS Preston 5 Dec 1801; 4th mate LADY CASTLEREAGH 1802/3; 2nd mate CARMATHEN 1804/5; 4th mate LORD HAWKESBURY 1806/7 "
Nutt, Justinian (c1749-);"seaman LORD CLIVE 1762/3; midshipman GREENWICH (2) 1766/7; seaman LORD HOLLAND (1) 1768/9, home in ROYAL CHARLOTTE (1); 3rd mate TALBOT 1770/1; 2nd mate DUKE OF KINGSTON (2) 1772/3 (approved 6 Nov 1772, aged 23); 1st mate DUKE OF KINGSTON (2) 1776/7; Capt DUKE OF KINGSTON (2) 1778/9 & 1782/3; Capt THETIS "
(1) 1786/7, 1788/9 & 1791/2;
Nutting, Joseph;"4th mate UNION (5) 1810/1; run 29 Nov 1811 "
Nutting, Thomas;1st mate PARMELIA 1826/7  
